"","Treatments","survivals","adultsNO","Date","DayCount","Adults","Mortality","mortality (%)"
"251","C1",7,1,2020-09-13,3,14.2857142857143,0,0
"252","C1",7,0,2020-09-13,3,0,0,0
"253","C1",7,1,2020-09-13,3,14.2857142857143,0,0
"254","C1",7,3,2020-09-13,3,42.8571428571429,0,0
"255","C1",7,1,2020-09-13,3,14.2857142857143,0,0
"256","C2",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"257","C2",7,2,2020-09-13,3,28.5714285714286,0,0
"258","C2",7,4,2020-09-13,3,57.1428571428571,0,0
"259","C2",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"260","C2",5,0,2020-09-13,3,0,2,0.285714285714286
"261","C2",7,2,2020-09-13,3,28.5714285714286,0,0
"262","C2",7,4,2020-09-13,3,57.1428571428571,0,0
"263","C2",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"264","C2",7,2,2020-09-13,3,28.5714285714286,0,0
"265","C2",7,1,2020-09-13,3,14.2857142857143,0,0
"266","C2",7,3,2020-09-13,3,42.8571428571429,0,0
"267","C2",5,3,2020-09-13,3,42.8571428571429,2,0.285714285714286
"268","C2",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"269","C2",7,4,2020-09-13,3,57.1428571428571,0,0
"270","C2",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"271","C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"272","C3",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"273","C3",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"274","C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"275","C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"276","C3",7,1,2020-09-13,3,14.2857142857143,0,0
"277","C3",5,2,2020-09-13,3,28.5714285714286,2,0.285714285714286
"278","C3",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"279","C3",7,3,2020-09-13,3,42.8571428571429,0,0
"280","C3",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"281","C3",7,1,2020-09-13,3,14.2857142857143,0,0
"282","C3",7,4,2020-09-13,3,57.1428571428571,0,0
"283","C3",7,2,2020-09-13,3,28.5714285714286,0,0
"284","C3",7,4,2020-09-13,3,57.1428571428571,0,0
"285","C3",4,0,2020-09-13,3,0,3,0.428571428571429
"286","MycoMillet15",6,2,2020-09-13,3,28.5714285714286,1,0.142857142857143
"287","MycoMillet15",7,1,2020-09-13,3,14.2857142857143,0,0
"288","MycoMillet15",7,2,2020-09-13,3,28.5714285714286,0,0
"289","MycoMillet15",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"290","MycoMillet15",7,2,2020-09-13,3,28.5714285714286,0,0
"291","MycoMillet15",6,4,2020-09-13,3,57.1428571428571,1,0.142857142857143
"292","MycoMillet15",3,0,2020-09-13,3,0,4,0.571428571428571
"293","MycoMillet15",5,0,2020-09-13,3,0,2,0.285714285714286
"294","MycoMillet15",5,2,2020-09-13,3,28.5714285714286,2,0.285714285714286
"295","MycoMillet15",7,3,2020-09-13,3,42.8571428571429,0,0
"296","MycoMillet15",7,0,2020-09-13,3,0,0,0
"297","MycoMillet15",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"298","MycoMillet15",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"299","MycoMillet15",5,0,2020-09-13,3,0,2,0.285714285714286
"300","MycoMillet15",5,0,2020-09-13,3,0,2,0.285714285714286
"301","MycoMillet25",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"302","MycoMillet25",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"303","MycoMillet25",1,0,2020-09-13,3,0,6,0.857142857142857
"304","MycoMillet25",3,0,2020-09-13,3,0,4,0.571428571428571
"305","MycoMillet25",3,0,2020-09-13,3,0,4,0.571428571428571
"306","MycoMillet25",2,0,2020-09-13,3,0,5,0.714285714285714
"307","MycoMillet25",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"308","MycoMillet25",5,2,2020-09-13,3,28.5714285714286,2,0.285714285714286
"309","MycoMillet25",6,4,2020-09-13,3,57.1428571428571,1,0.142857142857143
"310","MycoMillet25",2,0,2020-09-13,3,0,5,0.714285714285714
"311","MycoMillet25",5,1,2020-09-13,3,14.2857142857143,2,0.285714285714286
"312","MycoMillet25",6,3,2020-09-13,3,42.8571428571429,1,0.142857142857143
"313","MycoMillet25",2,0,2020-09-13,3,0,5,0.714285714285714
"314","MycoMillet25",6,0,2020-09-13,3,0,1,0.142857142857143
"315","MycoMillet25",6,1,2020-09-13,3,14.2857142857143,1,0.142857142857143
"316","B.bassiana",1,0,2020-09-17,4,0,6,0.857142857142857
"317","B.bassiana",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"318","B.bassiana",0,0,2020-09-17,4,0,7,1
"319","B.bassiana",3,1,2020-09-17,4,14.2857142857143,4,0.571428571428571
"320","B.bassiana",4,0,2020-09-17,4,0,3,0.428571428571429
"321","B.bassiana",4,0,2020-09-17,4,0,3,0.428571428571429
"322","B.bassiana",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"323","B.bassiana",5,1,2020-09-17,4,14.2857142857143,2,0.285714285714286
"324","B.bassiana",3,0,2020-09-17,4,0,4,0.571428571428571
"325","B.bassiana",5,0,2020-09-17,4,0,2,0.285714285714286
"326","B.bassiana",1,0,2020-09-17,4,0,6,0.857142857142857
"327","B.bassiana",4,0,2020-09-17,4,0,3,0.428571428571429
"328","B.bassiana",4,0,2020-09-17,4,0,3,0.428571428571429
"329","B.bassiana",5,0,2020-09-17,4,0,2,0.285714285714286
"330","B.bassiana",5,0,2020-09-17,4,0,2,0.285714285714286
"331","BotaniGard",5,3,2020-09-17,4,42.8571428571429,2,0.285714285714286
"332","BotaniGard",6,1,2020-09-17,4,14.2857142857143,1,0.142857142857143
"333","BotaniGard",5,0,2020-09-17,4,0,2,0.285714285714286
